ct_uid,ct_name,municipality_code,municipality_name,apciq_sector_number,population_weight,population_in_sector,tract_population,weight_basis,assignment_method,neighbourhood_names,tract_is_shared,includes_corrected_point
4620273.00,0273.00,66023,Montréal,6,1.000000,4752,4752,population,borough_code,,False,False
4620274.00,0274.00,66023,Montréal,6,1.000000,3133,3133,population,borough_code,,False,False
4620275.00,0275.00,66023,Montréal,6,1.000000,4158,4158,population,borough_code,,False,False
4620276.00,0276.00,66023,Montréal,6,1.000000,5123,5123,population,borough_code,,False,False
4620277.00,0277.00,66023,Montréal,6,1.000000,4350,4350,population,borough_code,,False,False
4620278.00,0278.00,66023,Montréal,6,1.000000,4229,4229,population,borough_code,,False,False
4620279.00,0279.00,66023,Montréal,6,1.000000,4954,4954,population,borough_code,,False,False
4620280.00,0280.00,66023,Montréal,6,1.000000,4621,4621,population,borough_code,,False,False
4620281.00,0281.00,66023,Montréal,6,1.000000,3756,3756,population,borough_code,,False,False
4620282.00,0282.00,66023,Montréal,6,1.000000,6549,6549,population,borough_code,,False,False
4620283.01,0283.01,66023,Montréal,6,1.000000,4058,4058,population,borough_code,,False,False
4620283.02,0283.02,66023,Montréal,6,1.000000,2891,2891,population,borough_code,,False,False
4620284.00,0284.00,66023,Montréal,6,1.000000,3489,3489,population,borough_code,,False,False
4620285.00,0285.00,66023,Montréal,6,1.000000,6335,6335,population,borough_code,,False,False
4620286.00,0286.00,66023,Montréal,6,1.000000,5433,5433,population,borough_code,,False,False
4620287.01,0287.01,66023,Montréal,6,1.000000,6636,6636,population,borough_code,,False,False
4620287.02,0287.02,66023,Montréal,6,1.000000,4740,4740,population,borough_code,,False,False
4620288.00,0288.00,66023,Montréal,6,1.000000,1473,1473,population,borough_code,,False,False
4620421.05,0421.05,66023,Montréal,6,0.000000,0,2339,population,borough_code,,False,False
4620094.01,0094.01,66023,Montréal,7,1.000000,6306,6306,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620095.00,0095.00,66023,Montréal,7,1.000000,2147,2147,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620096.00,0096.00,66023,Montréal,7,1.000000,2370,2370,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620097.01,0097.01,66023,Montréal,7,1.000000,6174,6174,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620097.02,0097.02,66023,Montréal,7,1.000000,4133,4133,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
4620098.00,0098.00,66023,Montréal,7,1.000000,5466,5466,population,neighbourhood_polygon,Notre-Dame-de-Grâce,False,False
