ref_date,geo,dguid,median_hh_total_income_2020,median_hh_total_income_2015,median_hh_aftertax_income_2020,median_hh_aftertax_income_2015,households_2021
2021,0213.00 - Montréal,2021S05074620213.00,65000,56400,56000,48800,1315
2021,0214.00 - Montréal,2021S05074620214.00,68000,54000,58000,48000,1430
2021,0215.00 - Montréal,2021S05074620215.00,62400,55600,53600,47600,1655
2021,0216.00 - Montréal,2021S05074620216.00,63600,52000,54400,45600,1255
2021,0217.00 - Montréal,2021S05074620217.00,66000,54800,56800,47200,1385
2021,0218.00 - Montréal,2021S05074620218.00,62800,53600,55200,46800,1675
2021,0219.00 - Montréal,2021S05074620219.00,72000,58000,60800,50000,1620
2021,0220.00 - Montréal,2021S05074620220.00,47200,34400,43600,33200,2690
2021,0221.00 - Montréal,2021S05074620221.00,44800,35600,41600,34000,2775
2021,0222.00 - Montréal,2021S05074620222.00,49600,39200,45200,37600,1560
2021,0223.01 - Montréal,2021S05074620223.01,47600,39600,44000,37600,1560
2021,0223.02 - Montréal,2021S05074620223.02,54800,42400,49200,40800,1275
2021,0224.00 - Montréal,2021S05074620224.00,49200,38000,46000,36000,2435
2021,0225.00 - Montréal,2021S05074620225.00,72000,58400,60800,51600,665
2021,0226.00 - Montréal,2021S05074620226.00,73000,63600,61600,54000,1560
2021,0227.00 - Montréal,2021S05074620227.00,75500,66500,66000,57200,760
2021,0228.00 - Montréal,2021S05074620228.00,76000,64000,63200,55600,775
2021,0229.00 - Montréal,2021S05074620229.00,,0,,0,
2021,0230.00 - Montréal,2021S05074620230.00,66000,61200,57200,52800,950
2021,0231.00 - Montréal,2021S05074620231.00,72500,58000,61200,50400,850
2021,0232.00 - Montréal,2021S05074620232.00,82000,67500,68500,56800,2585
2021,0233.00 - Montréal,2021S05074620233.00,54800,45600,47600,41200,1180
2021,0234.00 - Montréal,2021S05074620234.00,47600,40000,43200,36000,1235
2021,0235.00 - Montréal,2021S05074620235.00,69500,58800,60000,50800,990
2021,0236.00 - Montréal,2021S05074620236.00,63200,50800,54400,45600,960
2021,0237.00 - Montréal,2021S05074620237.00,73000,65000,62800,56400,1765
2021,0238.00 - Montréal,2021S05074620238.00,70000,55200,59200,48800,1210
2021,0239.00 - Montréal,2021S05074620239.00,56800,45200,49600,40400,2500
2021,0240.00 - Montréal,2021S05074620240.00,52000,42000,47200,38000,1535
2021,0241.00 - Montréal,2021S05074620241.00,50800,44400,46000,40400,1360
2021,0242.00 - Montréal,2021S05074620242.00,54000,44000,48400,40800,3025
2021,0243.00 - Montréal,2021S05074620243.00,57200,48800,51600,44800,1775
2021,0244.00 - Montréal,2021S05074620244.00,60000,48400,53600,42800,1070
2021,0245.00 - Montréal,2021S05074620245.00,62000,47600,54400,42800,1550
2021,0247.00 - Montréal,2021S05074620247.00,73500,60800,62800,51200,1135
