municipality_code,municipality_name,matricule,borough_code,use_code,neighbourhood_unit,frontage_m,lot_area_m2,storeys,year_built,year_built_flag,floor_area_m2,physical_link,construction_type,dwelling_count,market_ref_date,land_value,building_value,total_value,prev_total_value
66112,Baie-D'Urfé,70299644271,,1000,0518,31.21,1493.00,1,1965,R,287.8,1,4,1,2024-07-01,559900,583600,1143500,1110200
66112,Baie-D'Urfé,70299573991,,1000,0520,24.89,1746.30,2,1914,R,271.0,1,5,1,2024-07-01,628700,601300,1230000,1098200
66112,Baie-D'Urfé,71290605238,,1000,0518,40.96,1907.90,2,1948,R,343.2,1,5,1,2024-07-01,679700,652800,1332500,1293700
66112,Baie-D'Urfé,71290503821,,1000,0520,44.42,1507.10,1,1948,R,351.5,1,4,1,2024-07-01,602800,1047200,1650000,1220000
66112,Baie-D'Urfé,71302252763,,1000,0518,30.48,1426.10,1,1956,R,141.1,1,1,1,2024-07-01,534800,343000,877800,852200
66112,Baie-D'Urfé,71302356069,,1000,0518,30.48,1441.50,1,1956,R,187.1,1,1,1,2024-07-01,540600,327900,868500,843200
66112,Baie-D'Urfé,71302360368,,1000,0518,30.48,1457.00,1,1956,R,132.4,1,1,1,2024-07-01,546400,198800,745200,723500
66112,Baie-D'Urfé,71302363677,,1000,0518,30.48,1472.50,1,1956,R,100.7,1,1,1,2024-07-01,552200,128600,680800,661000
66112,Baie-D'Urfé,71302366977,,1000,0518,30.48,1487.90,1,1956,R,139.6,1,1,1,2024-07-01,558000,168900,726900,705700
66112,Baie-D'Urfé,71302471272,,1000,0518,30.48,1503.40,1,1956,R,132.9,1,1,1,2024-07-01,563800,183200,747000,725200
66112,Baie-D'Urfé,71302474581,,1000,0518,30.48,1496.20,1,1956,R,130.1,1,1,1,2024-07-01,561100,244100,805200,781700
66112,Baie-D'Urfé,71302481867,,1000,0518,59.94,1371.20,1,1956,R,141.4,1,1,1,2024-07-01,462800,355800,818600,794800
66112,Baie-D'Urfé,71302407516,,1000,0518,45.36,1468.70,1,1956,R,131.6,1,1,1,2024-07-01,550800,206800,757600,735500
66112,Baie-D'Urfé,71302402194,,1000,0518,31.30,1431.00,1,1956,R,250.2,1,1,1,2024-07-01,536600,506500,1043100,1012700
66112,Baie-D'Urfé,71301398880,,1000,0518,31.30,1431.00,1,1956,R,225.0,1,1,1,2024-07-01,536600,357100,893700,867700
66112,Baie-D'Urfé,71301394582,,1000,0518,30.48,1393.50,1,1956,R,92.9,1,1,1,2024-07-01,522600,140500,663100,643800
66112,Baie-D'Urfé,71301391273,,1000,0518,30.48,1393.50,1,1956,R,132.8,1,1,1,2024-07-01,522600,177100,699700,679300
66112,Baie-D'Urfé,71301287901,,1000,0518,44.50,2034.50,2,1961,R,252.6,1,2,1,2024-07-01,686600,428900,1115500,1083000
66112,Baie-D'Urfé,71301237583,,1000,0518,30.48,1393.50,2,1958,R,190.2,1,2,1,2024-07-01,522600,398600,921200,894400
66112,Baie-D'Urfé,71301233285,,1000,0518,30.48,1393.50,1,1958,R,168.5,1,4,1,2024-07-01,522600,322800,845400,820800
66112,Baie-D'Urfé,71301130978,,1000,0518,30.48,1393.50,2,1957,R,200.8,1,2,1,2024-07-01,522600,461400,984000,955300
66112,Baie-D'Urfé,71301127677,,1000,0518,30.48,1393.50,2,1957,R,264.6,1,2,1,2024-07-01,522600,553800,1076400,1045000
66112,Baie-D'Urfé,71301115300,,1000,0518,45.72,1393.50,1,1957,R,166.4,1,4,1,2024-07-01,522600,250300,772900,750400
66112,Baie-D'Urfé,71301145273,,1000,0518,30.48,1393.50,1,1957,R,168.8,1,1,1,2024-07-01,522600,267700,790300,767300
66112,Baie-D'Urfé,71301175239,,1000,0518,30.48,1393.50,2,1957,R,185.6,1,2,1,2024-07-01,522600,257300,779900,757200
