ct_uid,ct_dguid,ct_name,cma_uid,csd_uid,csd_name,mamh_code,blocks,population_2021,dwellings_2021,land_area_km2,has_income_2020
4620103.00,2021S05074620103.00,0103.00,462,2466023,Montréal,66023,14,2325,1127,0.333,true
4620104.00,2021S05074620104.00,0104.00,462,2466023,Montréal,66023,17,2818,1167,0.3798,true
4620105.00,2021S05074620105.00,0105.00,462,2466023,Montréal,66023,16,3425,1703,0.3033,true
4620106.00,2021S05074620106.00,0106.00,462,2466023,Montréal,66023,15,2107,979,0.2375,true
4620107.00,2021S05074620107.00,0107.00,462,2466023,Montréal,66023,7,1539,900,0.1553,true
4620108.00,2021S05074620108.00,0108.00,462,2466023,Montréal,66023,16,3947,1769,0.564,true
4620109.00,2021S05074620109.00,0109.00,462,2466023,Montréal,66023,7,1907,1085,0.1667,true
4620110.00,2021S05074620110.00,0110.00,462,2466023,Montréal,66023,12,4212,2313,0.2457,true
4620111.00,2021S05074620111.00,0111.00,462,2466023,Montréal,66023,41,7142,3416,0.7499,true
4620112.01,2021S05074620112.01,0112.01,462,2466023,Montréal,66023,28,5718,2209,0.6303,true
4620112.02,2021S05074620112.02,0112.02,462,2466023,Montréal,66023,13,4192,2133,0.2763,true
4620113.00,2021S05074620113.00,0113.00,462,2466023,Montréal,66023,33,4987,2324,0.4955,true
4620114.00,2021S05074620114.00,0114.00,462,2466023,Montréal,66023,11,2183,988,0.2833,true
4620115.01,2021S05074620115.01,0115.01,462,2466023,Montréal,66023,8,2080,972,0.219,true
4620115.02,2021S05074620115.02,0115.02,462,2466023,Montréal,66023,19,5957,3916,0.427,true
4620116.00,2021S05074620116.00,0116.00,462,2466023,Montréal,66023,21,6765,3402,0.6414,true
4620117.00,2021S05074620117.00,0117.00,462,2466023,Montréal,66023,9,4243,1628,0.2705,true
4620118.00,2021S05074620118.00,0118.00,462,2466023,Montréal,66023,12,4396,1684,0.3038,true
4620119.00,2021S05074620119.00,0119.00,462,2466023,Montréal,66023,16,6142,2562,0.5754,true
4620120.01,2021S05074620120.01,0120.01,462,2466023,Montréal,66023,53,7337,3967,2.6314,true
4620120.02,2021S05074620120.02,0120.02,462,2466058,Côte-Saint-Luc,66058,8,1114,590,0.1971,true
4620121.00,2021S05074620121.00,0121.00,462,2466023,Montréal,66023,30,2078,723,0.3831,true
4620122.00,2021S05074620122.00,0122.00,462,2466023,Montréal,66023,18,6517,3323,0.6683,true
4620123.00,2021S05074620123.00,0123.00,462,2466023,Montréal,66023,18,6480,3526,0.4104,true
4620124.00,2021S05074620124.00,0124.00,462,2466023,Montréal,66023,17,5872,2978,0.3786,true
4620125.00,2021S05074620125.00,0125.00,462,2466023,Montréal,66023,21,6344,2975,0.475,true
