ct_uid,admin_name,admin_geography_type,places_touched,name_is_a_majority_call,population_in_place,tract_population,population_named_elsewhere,assignment_basis
4620102.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,4254,4254,0,population
4620103.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,2325,2325,0,population
4620104.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,2818,2818,0,population
4620105.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,3425,3425,0,population
4620106.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,2107,2107,0,population
4620107.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,1539,1539,0,population
4620108.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,3947,3947,0,population
4620109.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,1907,1907,0,population
4620110.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,4212,4212,0,population
4620111.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,7142,7142,0,population
4620112.01,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,5718,5718,0,population
4620112.02,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,4192,4192,0,population
4620113.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,4987,4987,0,population
4620114.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,2183,2183,0,population
4620115.01,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,2080,2080,0,population
4620115.02,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,5957,5957,0,population
4620116.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,6765,6765,0,population
4620117.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,4243,4243,0,population
4620118.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,4396,4396,0,population
4620119.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,6142,6142,0,population
4620120.01,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,7337,7337,0,population
4620120.02,Côte-Saint-Luc,linked_city,1,False,1114,1114,0,population
4620121.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,2078,2078,0,population
4620122.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,6517,6517,0,population
4620123.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,6480,6480,0,population
4620124.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,5872,5872,0,population
4620125.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,6344,6344,0,population
4620126.00,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,2280,2280,0,population
4620127.01,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,5578,5578,0,population
4620127.02,Côte-des-Neiges-Notre-Dame-de-Grâce,borough,1,False,21,21,0,population
4620128.00,Ville-Marie,borough,1,False,3839,3839,0,population
4620129.01,Ville-Marie,borough,1,False,4249,4249,0,population
4620129.02,Ville-Marie,borough,1,False,3602,3602,0,population
4620130.00,Le Plateau-Mont-Royal,borough,1,False,3017,3017,0,population
4620131.00,Le Plateau-Mont-Royal,borough,1,False,3201,3201,0,population
4620132.00,Le Plateau-Mont-Royal,borough,1,False,5151,5151,0,population
4620133.00,Le Plateau-Mont-Royal,borough,1,False,2645,2645,0,population
4620134.00,Le Plateau-Mont-Royal,borough,1,False,1136,1136,0,population
4620135.00,Le Plateau-Mont-Royal,borough,1,False,1717,1717,0,population
4620136.00,Le Plateau-Mont-Royal,borough,1,False,2861,2861,0,population
4620137.00,Le Plateau-Mont-Royal,borough,1,False,1165,1165,0,population
4620138.00,Le Plateau-Mont-Royal,borough,1,False,2077,2077,0,population
4620139.00,Le Plateau-Mont-Royal,borough,1,False,3223,3223,0,population
4620140.00,Le Plateau-Mont-Royal,borough,1,False,1388,1388,0,population
4620141.00,Le Plateau-Mont-Royal,borough,1,False,1722,1722,0,population
4620142.00,Le Plateau-Mont-Royal,borough,1,False,1683,1683,0,population
4620143.00,Le Plateau-Mont-Royal,borough,1,False,2691,2691,0,population
4620144.00,Le Plateau-Mont-Royal,borough,1,False,3542,3542,0,population
4620145.00,Le Plateau-Mont-Royal,borough,1,False,0,0,0,dissemination_area_count
4620146.00,Le Plateau-Mont-Royal,borough,1,False,2455,2455,0,population
4620147.00,Le Plateau-Mont-Royal,borough,1,False,2905,2905,0,population
4620148.00,Le Plateau-Mont-Royal,borough,1,False,1223,1223,0,population
4620149.00,Le Plateau-Mont-Royal,borough,1,False,3238,3238,0,population
